Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
10000,1,1,1,10000,1,8760,8760,1,4449.005901,374.754396,5126.66546,2962.016514,23175.46837,23461.51356,20903.37677,4898.359977,14947.43782
,,,,,,,,2,4401.69719,378.3615522,5209.594184,2965.428486,22899.92437,22236.47707,20603.18312,4797.202878,14894.59337
,,,,,,,,3,4372.850005,391.7428413,5290.584756,2841.404237,22952.95414,20175.13236,19240.956,4319.117192,15119.95221
,,,,,,,,4,4408.620262,435.7299089,5407.147662,2919.336899,23287.13388,18632.75661,18687.99421,3957.704907,15668.3203
,,,,,,,,5,4489.390492,489.5473498,5733.20895,2990.196066,24205.24012,18321.5277,19047.25995,3939.72034,16585.91894
,,,,,,,,6,4634.778164,546.2220744,6239.811556,3261.547535,25758.27584,19459.51814,20330.6012,4131.848157,17746.08147
,,,,,,,,7,4805.550435,600.7279687,7009.426758,3663.294954,27730.01199,22531.00515,23056.44274,4679.98755,18985.09503
,,,,,,,,8,4455.181752,617.9032607,7237.28568,3871.888372,29281.87561,25790.52897,25066.00157,5384.466655,17664.84993
,,,,,,,,9,3641.108675,475.3625371,6208.337974,3551.058409,29708.61613,27190.50198,22971.01196,4915.413868,17182.00286
,,,,,,,,10,3024.721498,310.8712626,4348.32458,2662.555236,29478.78544,23308.98946,17630.49183,3547.880042,14063.5361
,,,,,,,,11,2573.965116,235.0771704,3229.535142,2110.347598,29177.61864,19547.64318,14033.21383,2733.165683,13375.96627
,,,,,,,,12,2394.097273,206.555499,2767.65377,1924.619077,28682.2957,15946.46772,10983.21753,2003.575722,12275.05192
,,,,,,,,13,2395.760445,208.8997828,2730.928127,1852.342159,27642.28696,14364.5565,10060.67475,1880.041774,11144.9011
,,,,,,,,14,2656.519038,227.5039756,2823.548752,1792.16461,27272.06652,14267.8934,10458.18967,2007.536318,11237.90998
,,,,,,,,15,3110.346053,259.549323,3124.910294,1961.046861,27218.96201,15591.87998,11684.48272,2430.741107,11107.02198
,,,,,,,,16,3825.065805,312.9326871,3715.751217,2342.86296,27736.41742,17226.7788,13420.54223,3059.469883,12792.41179
,,,,,,,,17,4815.426765,405.7350072,4745.627502,2841.233148,29068.87257,19234.3853,15208.42406,3981.312988,15914.75659
,,,,,,,,18,5205.942144,485.6576449,5671.014689,3478.263865,30431.7722,21869.63345,17719.43561,4651.227096,16883.0014
,,,,,,,,19,5223.250874,500.3902582,6018.070533,3763.31008,30368.60727,25051.18878,19587.1319,5191.784146,16952.42072
,,,,,,,,20,5189.788308,501.0250605,6171.944292,3796.316085,29719.92665,25119.42294,20132.81038,5136.457638,17002.56922
,,,,,,,,21,5111.324721,483.6178673,5970.697031,3731.503877,28785.63188,24615.61843,20084.25491,4963.415651,16828.14863
,,,,,,,,22,4931.321686,460.61967,5719.426282,3579.269564,27100.20535,24601.72062,21158.78526,4844.067425,16088.91977
,,,,,,,,23,4774.39556,437.2000319,5464.151464,3319.254647,25511.63157,24504.35383,21332.89131,4717.643971,15568.43694
,,,,,,,,24,4577.084843,421.1748207,5169.368688,3253.225201,24141.51297,25214.6083,22183.27215,4928.445659,15361.52822
,,,,,,,,25,4547.084861,394.5693636,4846.839194,3412.85884,24135.77268,26120.56977,21479.43038,5016.03136,15355.76746
,,,,,,,,26,4502.08384,385.6409088,4668.565708,3309.611549,23786.19088,23792.821,19503.87158,4517.464991,15444.75589
,,,,,,,,27,4468.621274,393.9090822,4671.144968,3235.069065,23794.7022,21713.74338,17908.24255,3984.376561,15713.63937
,,,,,,,,28,4504.391531,414.8954667,4731.356588,3256.673134,24352.14687,20578.79052,16829.59505,3617.860642,16317.12571
,,,,,,,,29,4607.084825,450.134194,5106.800257,3374.539269,25660.3214,20682.02136,17226.72064,3656.758738,17594.37078
,,,,,,,,30,4817.08889,526.9216602,5855.637647,3689.600156,27893.83632,22220.64412,19040.90522,3965.611015,18974.04366
,,,,,,,,31,5024.785264,614.413039,6852.837989,4237.272301,30414.18083,26753.24278,22557.36186,4775.871589,20368.69856
,,,,,,,,32,4674.670196,648.3809187,7089.942774,4454.584719,31807.54444,30610.38428,25061.22433,5784.81301,18914.64225
,,,,,,,,33,3813.289455,519.9404918,5951.038306,4026.368637,31751.14783,31266.33759,23410.57324,5144.797752,15754.22239
,,,,,,,,34,3074.083237,349.7038887,4580.780767,3301.530047,31152.52447,25315.65771,18985.89433,3860.308809,13438.53081
,,,,,,,,35,2615.5046,261.1634133,3656.916495,2760.733063,30328.83901,20913.58121,15884.45272,3024.006702,11855.36054
,,,,,,,,36,2446.021366,226.2053704,3241.589558,2423.141829,29618.1049,17662.6189,12969.47979,2279.92047,12402.94603
,,,,,,,,37,2456.01612,221.1552274,3137.994817,2155.581561,28686.50533,15636.99802,11685.83646,2024.233953,10406.2056
,,,,,,,,38,2668.057493,244.0268578,3282.654654,1948.726276,28051.1328,14991.14262,12086.96731,2225.875093,10518.19463
,,,,,,,,39,3118.422971,278.2973794,3545.059225,2007.317166,28105.43434,15009.26255,13189.88136,2581.272794,11163.78787
,,,,,,,,40,3805.450432,331.6807435,4091.483498,2307.688375,28224.76838,16753.53775,14848.50943,3257.123736,12783.46441
,,,,,,,,41,4765.810363,416.8886362,4934.506637,2901.371467,29174.22906,18932.35123,16129.17678,4088.944206,15810.3581
,,,,,,,,42,5194.40369,487.430617,5686.209618,3546.227597,30584.52649,22239.78439,18001.8405,4681.727056,16926.09434
,,,,,,,,43,5224.404719,503.2757139,6052.947003,3919.357389,30509.07609,25513.21776,20233.35601,5297.144374,16960.04419
,,,,,,,,44,5185.172926,505.9249183,6184.417367,3974.082976,29764.34652,26262.7614,20929.74664,5241.209794,17074.41453
,,,,,,,,45,5122.864223,494.7712892,6141.434653,3992.331739,28775.30931,26155.6251,20937.16421,5086.904341,16756.17794
,,,,,,,,46,4942.86014,470.6607119,5911.014724,3841.335369,27242.45833,25946.87643,22055.28261,4950.091428,16284.87232
,,,,,,,,47,4745.549423,437.6214727,5598.674503,3583.219866,25412.06521,25860.26432,22208.926,4796.636581,15883.70405
,,,,,,,,48,4567.854079,416.4269053,5267.107905,3419.851693,23900.82024,26252.22956,22649.1138,5027.856288,15646.85073
,,,,,,,,49,4505.545377,394.5693636,5332.407317,3299.418133,22949.87979,25699.69474,22478.16274,5209.888239,15609.71911
,,,,,,,,50,4447.852056,383.6266103,5157.353057,3105.111189,22536.20253,23215.48122,20535.56347,4759.606801,15687.72616
,,,,,,,,51,4420.158717,388.7677945,5187.294598,3034.600738,22383.71581,20959.57886,19033.2527,4216.041879,15897.74344
,,,,,,,,52,4467.467429,402.3879242,5377.879171,3020.171508,22728.39685,19409.68539,18241.48525,3851.40588,16543.16562
,,,,,,,,53,4572.469461,439.8517221,5757.712486,3136.959892,23916.52454,19223.56025,18591.55454,3836.916571,17668.79681
