Time_Index,Central_Solar,IID_Solar,LADWP_Solar,NCNC_Solar,North_Solar,PGE_Solar,SCE_Solar,SDGE_Solar,South_Solar,Central_Wind,LADWP_Wind,NCNC_Wind,North_Wind,PGE_Wind,SCE_Wind,SDGE_Wind,South_Wind,LADWP_Hydro,NCNC_Hydro,North_Hydro,PGE_Hydro,SCE_Hydro,South_Hydro,Central_Solar_Invest,IID_Solar_Invest,LADWP_Solar_Invest,NCNC_Solar_Invest,North_Solar_Invest,PGE_Solar_Invest,SCE_Solar_Invest,SDGE_Solar_Invest,South_Solar_Invest,Central_Wind_Invest,LADWP_Wind_Invest,NCNC_Wind_Invest,North_Wind_Invest,PGE_Wind_Invest,SCE_Wind_Invest,SDGE_Wind_Invest,South_Wind_Invest,Central_Solar_LowerQuality_Invest,IID_Solar_LowerQuality_Invest,LADWP_Solar_LowerQuality_Invest,NCNC_Solar_LowerQuality_Invest,North_Solar_LowerQuality_Invest,PGE_Solar_LowerQuality_Invest,SCE_Solar_LowerQuality_Invest,SDGE_Solar_LowerQuality_Invest,South_Solar_LowerQuality_Invest,Central_Wind_LowerQuality_Invest,LADWP_Wind_LowerQuality_Invest,NCNC_Wind_LowerQuality_Invest,North_Wind_LowerQuality_Invest,PGE_Wind_LowerQuality_Invest,SCE_Wind_LowerQuality_Invest,SDGE_Wind_LowerQuality_Invest,South_Wind_LowerQuality_Invest
1,0,0,0,0,0,0,0,0,0,0.410001007,0.371155714,0.36396437,0,0.130972525,0.323262563,0.293315175,0.320000961,0.198148942,0.011877089,0.815988825,0.11744,0.185104102,0.241902143,0,0,0,0,0,0,0,0,0,0.410001007,0.371155714,0.36396437,0,0.130972525,0.323262563,0.293315175,0.320000961,0,0,0,0,0,0,0,0,0,0.307500755,0.278366786,0.272973278,0,0.098229394,0.242446922,0.219986381,0.240000721
2,0,0,0,0,0,0,0,0,0,0.410001007,0.350239048,0.36861575,0,0.129317685,0.279045114,0.246615172,0.320000961,0.177205024,0.01147912,0.804818112,0.10235,0.169464197,0.240679472,0,0,0,0,0,0,0,0,0,0.410001007,0.350239048,0.36861575,0,0.129317685,0.279045114,0.246615172,0.320000961,0,0,0,0,0,0,0,0,0,0.307500755,0.262679286,0.276461813,0,0.096988264,0.209283836,0.184961379,0.240000721
3,0,0,0,0,0,0,0,0,0,0.400001007,0.322310476,0.371872645,0,0.111082535,0.239312686,0.209900989,0.350000974,0.168207886,0.011141469,0.781914326,0.09737,0.164237021,0.253766152,0,0,0,0,0,0,0,0,0,0.400001007,0.322310476,0.371872645,0,0.111082535,0.239312686,0.209900989,0.350000974,0,0,0,0,0,0,0,0,0,0.300000755,0.241732857,0.278904484,0,0.083311901,0.179484515,0.157425742,0.262500731
4,0,0,0,0,0,0,0,0,0,0.390001007,0.300358095,0.374432299,0.010001002,0.086267115,0.215379164,0.199843937,0.420000961,0.166316749,0.01118627,0.78661956,0.08993,0.15637599,0.279953303,0,0,0,0,0,0,0,0,0,0.390001007,0.300358095,0.374432299,0.010001002,0.086267115,0.215379164,0.199843937,0.420000961,0,0,0,0,0,0,0,0,0,0.292500755,0.225268571,0.280824224,0.007500752,0.064700336,0.161534373,0.149882953,0.315000721
5,0,0,0,0,0,0,0,0,0,0.360001007,0.27334619,0.356991953,0.010001002,0.043713195,0.204357393,0.199815407,0.460000974,0.172740907,0.011481314,0.803629354,0.09644,0.163259827,0.354494247,0,0,0,0,0,0,0,0,0,0.360001007,0.27334619,0.356991953,0.010001002,0.043713195,0.204357393,0.199815407,0.460000974,0,0,0,0,0,0,0,0,0,0.270000755,0.205009643,0.267743965,0.007500752,0.032784896,0.153268045,0.149861555,0.345000731
6,0,0,0,0,0,0,0,0,0,0.310001007,0.232310524,0.336294711,0.010001002,0.018842759,0.19045211,0.173158276,0.420000961,0.204916262,0.083204157,0.833882612,0.1242,0.192038918,0.488960348,0,0,0,0,0,0,0,0,0,0.310001007,0.232310524,0.336294711,0.010001002,0.018842759,0.19045211,0.173158276,0.420000961,0,0,0,0,0,0,0,0,0,0.232500755,0.174232893,0.252221033,0.007500752,0.014132069,0.142839083,0.129868707,0.315000721
7,0,0,0,0.032705704,0,0,0,0,0.00398828,0.320001007,0.236334333,0.313037816,0.010001002,0.018291139,0.17148264,0.143186835,0.350000974,0.248234955,0.255664959,0.883824264,0.18334,0.251109002,0.709673064,0,0,0,0.032705704,0,0,0,0,0.00398828,0.320001007,0.236334333,0.313037816,0.010001002,0.018291139,0.17148264,0.143186835,0.350000974,0,0,0,0.024529278,0,0,0,0,0.00299121,0.240000755,0.17725075,0.234778362,0.007500752,0.013718354,0.12861198,0.107390126,0.262500731
8,0.450380898,0.520001304,0.42709878,0.426538129,0,0.194403558,0.470490949,0.587407984,0.589611039,0.310001007,0.226334333,0.284432299,0.010001002,0.010000996,0.154432814,0.123201119,0.310001106,0.142052574,0.31874303,0.92011911,0.03556,0.095543844,0.159850491,0.450380898,0.520001304,0.42709878,0.426538129,0,0.194403558,0.470490949,0.587407984,0.589611039,0.310001007,0.226334333,0.284432299,0.010001002,0.010000996,0.154432814,0.123201119,0.310001106,0.337785674,0.390000978,0.320324085,0.319903597,0,0.145802669,0.352868212,0.440555988,0.442208279,0.232500755,0.16975075,0.213324224,0.007500752,0.007500747,0.115824611,0.092400839,0.23250083
9,0.71692266,0.793001449,0.80409878,0.665341588,0.0221558,0.651079497,0.810548878,0.814068553,0.812680478,0.330001007,0.237370071,0.271175404,0.010001002,0.017739526,0.137718667,0.106543979,0.280000974,0.072622414,0.011957171,0.914238132,6.80E-04,0.046458254,0.129668912,0.71692266,0.793001449,0.80409878,0.665341588,0.0221558,0.651079497,0.810548878,0.814068553,0.812680478,0.330001007,0.237370071,0.271175404,0.010001002,0.017739526,0.137718667,0.106543979,0.280000974,0.537691995,0.594751087,0.603074085,0.499006191,0.01661685,0.488309623,0.607911659,0.610551415,0.609510359,0.247500755,0.178027553,0.203381553,0.007500752,0.013304645,0.103289,0.079907984,0.210000731
10,0.773859997,0.806001449,0.893196341,0.728941431,0.076153067,0.66609641,0.886341239,0.866032919,0.841007403,0.360001007,0.255417619,0.289083678,0.020001003,0.010607626,0.143170731,0.113186863,0.320000961,0.064975845,0.011049183,0.927145772,2.00E-05,0.044532672,0.129290576,0.773859997,0.806001449,0.893196341,0.728941431,0.076153067,0.66609641,0.886341239,0.866032919,0.841007403,0.360001007,0.255417619,0.289083678,0.020001003,0.010607626,0.143170731,0.113186863,0.320000961,0.580394998,0.604501087,0.669897256,0.546706073,0.0571148,0.499572308,0.664755929,0.649524689,0.630755552,0.270000755,0.191563214,0.216812759,0.015000752,0.00795572,0.107378048,0.084890147,0.240000721
11,0.786004475,0.845001449,0.906196585,0.675510613,0.312670169,0.800981394,0.90274856,0.869047761,0.850367377,0.330001007,0.234381976,0.321643332,0.020001003,0.010607626,0.158871791,0.139815464,0.400001106,0.064592534,0.011046211,0.934084191,0.00E+00,0.044417545,0.129312537,0.786004475,0.845001449,0.906196585,0.675510613,0.312670169,0.800981394,0.90274856,0.869047761,0.850367377,0.330001007,0.234381976,0.321643332,0.020001003,0.010607626,0.158871791,0.139815464,0.400001106,0.589503356,0.633751087,0.679647439,0.50663296,0.234502627,0.600736046,0.67706142,0.651785821,0.637775533,0.247500755,0.175786482,0.241232499,0.015000752,0.00795572,0.119153843,0.104861598,0.30000083
12,0.786108175,0.845001449,0.904293902,0.786532233,0.253629239,0.804838466,0.901847963,0.862835663,0.851364123,0.330001007,0.237370071,0.364900228,0.020001003,0.027187913,0.180406362,0.18642978,0.520000961,0.064577874,0.01104619,0.942854983,0.00E+00,0.044412101,0.129214988,0.786108175,0.845001449,0.904293902,0.786532233,0.253629239,0.804838466,0.901847963,0.862835663,0.851364123,0.330001007,0.237370071,0.364900228,0.020001003,0.027187913,0.180406362,0.18642978,0.520000961,0.589581131,0.633751087,0.678220427,0.589899175,0.190221929,0.60362885,0.676385972,0.647126747,0.638523092,0.247500755,0.178027553,0.273675171,0.015000752,0.020390935,0.135304772,0.139822335,0.390000721
