Time_Index,Central_Solar,IID_Solar,LADWP_Solar,NCNC_Solar,North_Solar,PGE_Solar,SCE_Solar,SDGE_Solar,South_Solar,Central_Wind,LADWP_Wind,NCNC_Wind,North_Wind,PGE_Wind,SCE_Wind,SDGE_Wind,South_Wind,LADWP_Hydro,NCNC_Hydro,North_Hydro,PGE_Hydro,SCE_Hydro,South_Hydro,Central_Solar_Invest,IID_Solar_Invest,LADWP_Solar_Invest,NCNC_Solar_Invest,North_Solar_Invest,PGE_Solar_Invest,SCE_Solar_Invest,SDGE_Solar_Invest,South_Solar_Invest,Central_Wind_Invest,LADWP_Wind_Invest,NCNC_Wind_Invest,North_Wind_Invest,PGE_Wind_Invest,SCE_Wind_Invest,SDGE_Wind_Invest,South_Wind_Invest,Central_Solar_LowerQuality_Invest,IID_Solar_LowerQuality_Invest,LADWP_Solar_LowerQuality_Invest,NCNC_Solar_LowerQuality_Invest,North_Solar_LowerQuality_Invest,PGE_Solar_LowerQuality_Invest,SCE_Solar_LowerQuality_Invest,SDGE_Solar_LowerQuality_Invest,South_Solar_LowerQuality_Invest,Central_Wind_LowerQuality_Invest,LADWP_Wind_LowerQuality_Invest,NCNC_Wind_LowerQuality_Invest,North_Wind_LowerQuality_Invest,PGE_Wind_LowerQuality_Invest,SCE_Wind_LowerQuality_Invest,SDGE_Wind_LowerQuality_Invest,South_Wind_LowerQuality_Invest
1,0,0,0,0,0,0,0,0,0,0.480001007,0.363465238,0.651166101,0.13000102,0.51467332,0.219950519,0.239786838,0.540001106,0.198148942,0.011877089,0.815988825,0.11744,0.185104102,0.241902143,0,0,0,0,0,0,0,0,0,0.480001007,0.363465238,0.651166101,0.13000102,0.51467332,0.219950519,0.239786838,0.540001106,0,0,0,0,0,0,0,0,0,0.360000755,0.272598929,0.488374576,0.097500765,0.38600499,0.164962889,0.179840129,0.40500083
2,0,0,0,0,0,0,0,0,0,0.470001007,0.347489048,0.626514954,0.190001104,0.503939243,0.191905048,0.203129716,0.490000974,0.177205024,0.01147912,0.804818112,0.10235,0.169464197,0.240679472,0,0,0,0,0,0,0,0,0,0.470001007,0.347489048,0.626514954,0.190001104,0.503939243,0.191905048,0.203129716,0.490000974,0,0,0,0,0,0,0,0,0,0.352500755,0.260616786,0.469886216,0.142500828,0.377954432,0.143928786,0.152347287,0.367500731
3,0,0,0,0,0,0,0,0,0,0.460001007,0.331512857,0.559074376,0.180001064,0.419327895,0.165796452,0.16980117,0.450001093,0.168207886,0.011141469,0.781914326,0.09737,0.164237021,0.253766152,0,0,0,0,0,0,0,0,0,0.460001007,0.331512857,0.559074376,0.180001064,0.419327895,0.165796452,0.16980117,0.450001093,0,0,0,0,0,0,0,0,0,0.345000755,0.248634643,0.419305782,0.135000798,0.314495921,0.124347339,0.127350878,0.33750082
4,0,0,0,0,0,0,0,0,0,0.470001007,0.335536667,0.464193683,0.150001021,0.283210859,0.155504133,0.153144029,0.420000961,0.166316749,0.01118627,0.78661956,0.08993,0.15637599,0.279953303,0,0,0,0,0,0,0,0,0,0.470001007,0.335536667,0.464193683,0.150001021,0.283210859,0.155504133,0.153144029,0.420000961,0,0,0,0,0,0,0,0,0,0.352500755,0.2516525,0.348145262,0.112500766,0.212408144,0.1166281,0.114858022,0.315000721
5,0,0,0,0,0,0,0,0,0,0.460001007,0.328524762,0.423496442,0.13000102,0.238892071,0.146818228,0.136501154,0.370000974,0.172740907,0.011481314,0.803629354,0.09644,0.163259827,0.354494247,0,0,0,0,0,0,0,0,0,0.460001007,0.328524762,0.423496442,0.13000102,0.238892071,0.146818228,0.136501154,0.370000974,0,0,0,0,0,0,0,0,0,0.345000755,0.246393572,0.317622332,0.097500765,0.179169053,0.110113671,0.102375866,0.277500731
6,0,0,0,0,0,0,0,0,0,0.430001007,0.304500952,0.3527992,0.080000996,0.166779615,0.127504342,0.109858288,0.310001106,0.204916262,0.083204157,0.833882612,0.1242,0.192038918,0.488960348,0,0,0,0,0,0,0,0,0,0.430001007,0.304500952,0.3527992,0.080000996,0.166779615,0.127504342,0.109858288,0.310001106,0,0,0,0,0,0,0,0,0,0.322500755,0.228375714,0.2645994,0.060000747,0.125084711,0.095628257,0.082393716,0.23250083
7,0,0,0,0.008177402,0,0,0,0,9.98E-04,0.390001007,0.276453333,0.330936788,0.060001007,0.181043496,0.111742605,0.093215365,0.260000974,0.248234955,0.255664959,0.883824264,0.18334,0.251109002,0.709673064,0,0,0,0.008177402,0,0,0,0,9.98E-04,0.390001007,0.276453333,0.330936788,0.060001007,0.181043496,0.111742605,0.093215365,0.260000974,0,0,0,0.006133052,0,0,0,0,7.49E-04,0.292500755,0.20734,0.248202591,0.045000755,0.135782622,0.083806954,0.069911524,0.195000731
8,0.381091683,0.572001304,0.426147805,0.255923506,0,0.124896269,0.476315367,0.474151733,0.496489463,0.270001007,0.192310548,0.306514722,0.040001006,0.220177756,0.086924647,0.073243915,0.200000974,0.142052574,0.31874303,0.92011911,0.03556,0.095543844,0.159850491,0.381091683,0.572001304,0.426147805,0.255923506,0,0.124896269,0.476315367,0.474151733,0.496489463,0.270001007,0.192310548,0.306514722,0.040001006,0.220177756,0.086924647,0.073243915,0.200000974,0.285818762,0.429000978,0.319610854,0.19194263,0,0.093672202,0.357236525,0.3556138,0.372367097,0.202500755,0.144232911,0.229886042,0.030000755,0.165133317,0.065193485,0.054932936,0.150000731
9,0.728704187,0.858001449,0.861489024,0.559266903,0.09589683,0.498661806,0.851378108,0.588840301,0.585403701,0.270001007,0.192310548,0.250698172,0.040001006,0.220177756,0.059963948,0.046615315,0.120000974,0.072622414,0.011957171,0.914238132,6.80E-04,0.046458254,0.129668912,0.728704187,0.858001449,0.861489024,0.559266903,0.09589683,0.498661806,0.851378108,0.588840301,0.585403701,0.270001007,0.192310548,0.250698172,0.040001006,0.220177756,0.059963948,0.046615315,0.120000974,0.54652814,0.643501087,0.646116768,0.419450177,0.071922623,0.373996355,0.638533581,0.441630226,0.439052776,0.202500755,0.144232911,0.188023629,0.030000755,0.165133317,0.044972961,0.034961486,0.090000731
10,0.833104661,0.936001449,0.945196341,0.722962657,0.24874406,0.737498625,0.949612751,0.771475801,0.796513462,0.330001007,0.234381976,0.17883583,0.030001004,0.194149076,0.033055274,0.026643864,0.060000994,0.064975845,0.011049183,0.927145772,2.00E-05,0.044532672,0.129290576,0.833104661,0.936001449,0.945196341,0.722962657,0.24874406,0.737498625,0.949612751,0.771475801,0.796513462,0.330001007,0.234381976,0.17883583,0.030001004,0.194149076,0.033055274,0.026643864,0.060000994,0.624828496,0.702001087,0.708897256,0.542221993,0.186558045,0.553123969,0.712209563,0.578606851,0.597385097,0.247500755,0.175786482,0.134126873,0.022500753,0.145611807,0.024791456,0.019982898,0.045000746
