Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
10000,1,1,1,10000,1,8760,8760,1,3961.576,341.3506,3730.831,2407.599,19622.656,16177.39,15585.08,3457.908,11393.0572
,,,,,,,,2,3917.99,337.6856,3704.057,2392.903,19385.187,15361.52,15330.67,3374.719,11352.5211
,,,,,,,,3,3891.414,346.7038,3736.134,2272.478,19433.48,14046.83,14382.94,3069.497,11530.3315
,,,,,,,,4,3924.369,372.3426,3780.759,2335.76,19725.268,13014.66,13907.03,2831.938,11960.4379
,,,,,,,,5,3998.783,408.1241,3957.25,2375.966,20522.428,12854.06,14028.15,2805.053,12684.07
,,,,,,,,6,4132.729,450.6735,4277.903,2566.959,21869.305,13488.39,14790.73,2927.371,13598.989
,,,,,,,,7,4290.062,492.3698,4741.438,2862.243,23577.74,15346.83,16521.6,3275.868,14582.6507
,,,,,,,,8,4041.184,502.3405,4821.266,3009.828,24921.903,17546.11,17508.01,3739.73,13692.309
,,,,,,,,9,3445.173,391.1283,4092.304,2738.298,25309.298,18157.96,15770.06,3258.963,13350.1277
,,,,,,,,10,2994.332,275.7031,2965.064,2100.829,25160.468,15454.6,11709.28,2246.371,11095.7713
,,,,,,,,11,2652.967,219.3065,2251.876,1719.385,24919.499,12696.88,8870.242,1649.072,10544.7473
,,,,,,,,12,2511.894,196.5182,1940.709,1592.108,24522.039,9841.504,7224.357,1189.126,9712.0995
,,,,,,,,13,2501.106,199.4498,1922.046,1545.457,23698.783,8774.03,6691.658,1132,8858.1462
,,,,,,,,14,2685.905,218.5207,2019.178,1504.869,23342.405,9036.342,7251.726,1254.353,8849.864
,,,,,,,,15,3011.619,246.3956,2284.601,1662.73,23238.653,10488.19,8374.554,1652.903,8701.9668
,,,,,,,,16,3546.896,296.2151,2773.795,1981.465,23621.402,12095.49,10199.69,2181.04,9868.3074
,,,,,,,,17,4311.479,376.3295,3562.372,2397.342,24731.293,13986.37,12024.5,2949.092,12159.1023
,,,,,,,,18,4658.943,440.1833,4229.049,2891.921,25906.535,15758.64,13953.31,3453.683,12917.6279
,,,,,,,,19,4674.889,450.6168,4489.066,3097.927,25853.78,17970.98,15242.09,3836.035,12974.3389
,,,,,,,,20,4644.061,450.717,4541.972,3112.999,25292.994,18011.59,15446.09,3779.352,13015.8302
,,,,,,,,21,4571.772,437.2902,4444.674,3061.578,24481.859,17604.54,15480.18,3651.743,12875.5374
,,,,,,,,22,4405.935,416.8049,4268.826,2936.641,23020.249,17443.17,16067.66,3548.569,12293.723
,,,,,,,,23,4261.359,392.8451,4047.627,2721.497,21643.99,17266.33,16167.77,3439.226,11889.6564
,,,,,,,,24,4079.575,376.5877,3816.219,2639.42,20459.194,17533.07,16608.4,3516.206,11726.3254
,,,,,,,,25,4051.936,358.5704,3602.334,2733.212,20454.657,17939.54,16274.74,3561.45,11719.3861
