Time_Index,Central_Solar,IID_Solar,LADWP_Solar,NCNC_Solar,North_Solar,PGE_Solar,SCE_Solar,SDGE_Solar,South_Solar,Central_Wind,LADWP_Wind,NCNC_Wind,North_Wind,PGE_Wind,SCE_Wind,SDGE_Wind,South_Wind,LADWP_Hydro,NCNC_Hydro,North_Hydro,PGE_Hydro,SCE_Hydro,South_Hydro,Central_Solar_Invest,IID_Solar_Invest,LADWP_Solar_Invest,NCNC_Solar_Invest,North_Solar_Invest,PGE_Solar_Invest,SCE_Solar_Invest,SDGE_Solar_Invest,South_Solar_Invest,Central_Wind_Invest,LADWP_Wind_Invest,NCNC_Wind_Invest,North_Wind_Invest,PGE_Wind_Invest,SCE_Wind_Invest,SDGE_Wind_Invest,South_Wind_Invest,Central_Solar_LowerQuality_Invest,IID_Solar_LowerQuality_Invest,LADWP_Solar_LowerQuality_Invest,NCNC_Solar_LowerQuality_Invest,North_Solar_LowerQuality_Invest,PGE_Solar_LowerQuality_Invest,SCE_Solar_LowerQuality_Invest,SDGE_Solar_LowerQuality_Invest,South_Solar_LowerQuality_Invest,Central_Wind_LowerQuality_Invest,LADWP_Wind_LowerQuality_Invest,NCNC_Wind_LowerQuality_Invest,North_Wind_LowerQuality_Invest,PGE_Wind_LowerQuality_Invest,SCE_Wind_LowerQuality_Invest,SDGE_Wind_LowerQuality_Invest,South_Wind_LowerQuality_Invest
1,0,0,0,0,0,0,0,0,0,0.540001007,0.399560476,0.138606517,0.260000995,0.131251893,0.082880639,0.066672385,0.060000994,0.198148942,0.011877089,0.815988825,0.11744,0.185104102,0.241902143,0,0,0,0,0,0,0,0,0,0.540001007,0.399560476,0.138606517,0.260000995,0.131251893,0.082880639,0.066672385,0.060000994,0,0,0,0,0,0,0,0,0,0.405000755,0.299670357,0.103954888,0.195000746,0.09843892,0.062160479,0.050004289,0.045000746
2,0,0,0,0,0,0,0,0,0,0.540001007,0.417489048,0.143257896,0.320000976,0.140407806,0.127720887,0.110029472,0.070000994,0.177205024,0.01147912,0.804818112,0.10235,0.169464197,0.240679472,0,0,0,0,0,0,0,0,0,0.540001007,0.417489048,0.143257896,0.320000976,0.140407806,0.127720887,0.110029472,0.070000994,0,0,0,0,0,0,0,0,0,0.405000755,0.313116786,0.107443422,0.240000732,0.105305855,0.095790665,0.082522104,0.052500746
3,0,0,0,0,0,0,0,0,0,0.540001007,0.435417619,0.161863412,0.370001047,0.148405475,0.179301359,0.153386635,0.080000974,0.168207886,0.011141469,0.781914326,0.09737,0.164237021,0.253766152,0,0,0,0,0,0,0,0,0,0.540001007,0.435417619,0.161863412,0.370001047,0.148405475,0.179301359,0.153386635,0.080000974,0,0,0,0,0,0,0,0,0,0.405000755,0.326563214,0.121397559,0.277500785,0.111304106,0.134476019,0.115039976,0.060000731
4,0,0,0,0,0,0,0,0,0,0.530001007,0.452310476,0.198377204,0.360001137,0.141163502,0.253721757,0.223400834,0.130000988,0.166316749,0.01118627,0.78661956,0.08993,0.15637599,0.279953303,0,0,0,0,0,0,0,0,0,0.530001007,0.452310476,0.198377204,0.360001137,0.141163502,0.253721757,0.223400834,0.130000988,0,0,0,0,0,0,0,0,0,0.397500755,0.339232857,0.148782903,0.270000853,0.105872627,0.190291318,0.167550626,0.097500741
5,0,0,0,0,0,0,0,0,0,0.520001007,0.469203333,0.254193683,0.350001097,0.146073005,0.348441858,0.303400948,0.210000961,0.172740907,0.011481314,0.803629354,0.09644,0.163259827,0.354494247,0,0,0,0,0,0,0,0,0,0.520001007,0.469203333,0.254193683,0.350001097,0.146073005,0.348441858,0.303400948,0.210000961,0,0,0,0,0,0,0,0,0,0.390000755,0.3519025,0.190645262,0.262500823,0.109554754,0.261331394,0.227550711,0.157500721
6,0,0,0,0,0,0,0,0,0,0.510001007,0.483108095,0.300707475,0.350001097,0.151037525,0.428986752,0.376729456,0.290000974,0.204916262,0.083204157,0.833882612,0.1242,0.192038918,0.488960348,0,0,0,0,0,0,0,0,0,0.510001007,0.483108095,0.300707475,0.350001097,0.151037525,0.428986752,0.376729456,0.290000974,0,0,0,0,0,0,0,0,0,0.382500755,0.362331071,0.225530606,0.262500823,0.113278144,0.321740064,0.282547092,0.217500731
7,0,0,0,0,0,0,0,0,0,0.500001007,0.494024762,0.329312991,0.310001066,0.159107643,0.490553647,0.436729494,0.350000974,0.248234955,0.255664959,0.883824264,0.18334,0.251109002,0.709673064,0,0,0,0,0,0,0,0,0,0.500001007,0.494024762,0.329312991,0.310001066,0.159107643,0.490553647,0.436729494,0.350000974,0,0,0,0,0,0,0,0,0,0.375000755,0.370518572,0.246984743,0.2325008,0.119330732,0.367915235,0.327547121,0.262500731
8,0.311802467,0.481001304,0.287903659,0.024529599,0,0.141596537,0.348611214,0.331943684,0.298654624,0.500001007,0.479084286,0.343267129,0.330001016,0.157562836,0.454696531,0.410029567,0.370000974,0.142052574,0.31874303,0.92011911,0.03556,0.095543844,0.159850491,0.311802467,0.481001304,0.287903659,0.024529599,0,0.141596537,0.348611214,0.331943684,0.298654624,0.500001007,0.479084286,0.343267129,0.330001016,0.157562836,0.454696531,0.410029567,0.370000974,0.23385185,0.360750978,0.215927744,0.018397199,0,0.106197403,0.261458411,0.248957763,0.223990968,0.375000755,0.359313215,0.257450347,0.247500762,0.118172127,0.341022398,0.307522175,0.277500731
9,0.589944481,0.754001449,0.733391707,0.20902331,0.054444797,0.607934813,0.725178224,0.530391162,0.500174929,0.500001007,0.461155714,0.32861575,0.330001016,0.14430819,0.39792428,0.363343734,0.350000974,0.072622414,0.011957171,0.914238132,6.80E-04,0.046458254,0.129668912,0.589944481,0.754001449,0.733391707,0.20902331,0.054444797,0.607934813,0.725178224,0.530391162,0.500174929,0.500001007,0.461155714,0.32861575,0.330001016,0.14430819,0.39792428,0.363343734,0.350000974,0.442458361,0.565501087,0.55004378,0.156767483,0.040833598,0.45595111,0.543883668,0.397793372,0.375131197,0.375000755,0.345866786,0.246461813,0.247500762,0.108231143,0.29844321,0.272507801,0.262500731
10,0.669926174,0.832001449,0.861489024,0.267809513,0.141225758,0.650165527,0.814102411,0.64984171,0.569471035,0.490001007,0.436215238,0.314661612,0.320000976,0.138185369,0.338896429,0.316657997,0.330001106,0.064975845,0.011049183,0.927145772,2.00E-05,0.044532672,0.129290576,0.669926174,0.832001449,0.861489024,0.267809513,0.141225758,0.650165527,0.814102411,0.64984171,0.569471035,0.490001007,0.436215238,0.314661612,0.320000976,0.138185369,0.338896429,0.316657997,0.330001106,0.502444631,0.624001087,0.646116768,0.200857135,0.105919319,0.487624145,0.610576808,0.487381283,0.427103276,0.367500755,0.327161429,0.235996209,0.240000732,0.103639027,0.254172322,0.237493498,0.24750083
