Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
,,,,,,,,48,3442.911856,322.9814628,2909.062762,2027.085556,17210.27614,11655.27819,12534.96768,2459.943034,8296.023946
,,,,,,,,49,3389.541235,308.3294717,2748.017649,2025.043494,16493.43664,10831.15991,11878.47527,2332.78968,8262.449292
,,,,,,,,50,3340.123738,300.3556451,2626.028035,1907.81194,16183.46525,10191.56541,11296.68019,2250.303734,8313.547984
,,,,,,,,51,3316.404011,299.7420207,2559.773485,1852.701998,16067.85115,9618.77077,10869.29054,2121.046197,8451.323004
,,,,,,,,52,3356.92624,300.6588173,2526.413374,1831.93807,16324.29166,9307.236786,10576.91545,2032.783045,8870.337538
,,,,,,,,53,3446.864979,314.6382449,2590.290332,1876.717989,17214.44605,9331.262496,10582.75643,2029.943865,9608.176632
,,,,,,,,54,3616.859155,340.5869889,2757.564439,1998.756897,18691.79497,9718.475168,10925.37777,2109.247111,10646.30036
,,,,,,,,55,3785.865296,370.2450044,3019.079753,2211.038309,20206.81967,10636.74796,11626.53241,2278.554598,11473.58913
,,,,,,,,56,3644.25958,384.1417577,3041.554141,2327.956233,21170.14425,11850.12983,12228.98341,2537.764543,10709.2938
,,,,,,,,57,3368.539835,349.2635965,2933.312221,2271.600674,21232.88966,12380.21188,11633.87564,2243.846338,9484.357585
,,,,,,,,58,3132.880382,325.5394779,2769.512449,2003.494005,20914.37774,10814.26599,10754.34877,1849.614372,8265.956795
,,,,,,,,59,2963.968009,308.294567,2586.338511,1891.441808,20582.6388,9972.40373,9821.008797,1513.897298,7422.107884
,,,,,,,,60,2868.927225,297.0767984,2505.0948,1788.597686,20270.26466,9047.162317,9196.331441,1291.772851,6828.835728
,,,,,,,,61,2817.1191,293.0914808,2456.749467,1757.95192,19978.36222,8669.433298,8665.151253,1194.325672,6432.162477
,,,,,,,,62,2867.845421,298.3607923,2472.472087,1752.031524,19461.27588,9357.121229,8787.731753,1339.996819,6298.213081
,,,,,,,,63,2977.617883,305.5861626,2540.970334,1830.27098,19373.17255,9880.684126,9297.420894,1521.610353,6355.073173
,,,,,,,,64,3220.561744,321.9952558,2718.610343,1920.407621,19312.71872,10199.32352,10149.25895,1880.822836,6878.75004
,,,,,,,,65,3599.483179,352.9546177,2999.987156,2125.859406,19974.32219,11070.83075,11245.54445,2364.759565,8311.810167
,,,,,,,,66,3890.629482,396.8173456,3330.542198,2418.678582,20957.2969,12247.58144,12302.68253,2774.373602,9026.565923
,,,,,,,,67,3918.303319,404.6153523,3440.772828,2542.352921,20961.18442,13882.27551,13503.11732,3121.706746,9125.779681
,,,,,,,,68,3932.139745,397.0720501,3418.22854,2497.715471,20545.43138,13822.66314,13498.7094,2977.309854,9149.926372
,,,,,,,,69,3870.862878,387.5087638,3376.824984,2439.712609,19751.05893,13422.37795,13471.69858,2882.234041,8999.690659
,,,,,,,,70,3709.76397,368.2477581,3289.966615,2292.285453,18523.4824,12991.45117,13342.58429,2758.489464,8596.159632
,,,,,,,,71,3550.64113,344.6389247,3105.491155,2130.210659,17176.44853,12423.5459,13157.08627,2633.66637,8327.799546
,,,,,,,,72,3394.482393,323.5193939,2869.444123,1973.311265,16133.29057,11781.71386,12731.74245,2542.473999,8140.840235
,,,,,,,,73,3339.135704,313.410996,2710.353261,1931.384692,15469.81959,10922.39097,11972.32626,2395.34069,8035.021636
,,,,,,,,74,3300.59053,305.5887555,2604.424938,1856.936506,15091.72167,10310.31137,11358.5491,2307.301658,8070.696517
,,,,,,,,75,3271.928659,304.5372269,2552.064774,1808.709619,14952.46562,9696.578541,10914.68413,2177.738769,8225.788662
,,,,,,,,76,3299.602496,305.6644489,2532.825485,1799.882451,15254.50454,9372.227068,10641.54178,2077.637383,8608.180503
,,,,,,,,77,3388.553201,317.8441907,2569.095807,1842.135517,16117.15407,9382.182656,10593.99364,2063.450294,9324.843341
,,,,,,,,78,3559.535411,345.5338809,2752.26187,1987.433547,17616.44469,9752.286451,10904.16839,2128.961841,10332.12706
,,,,,,,,79,3730.518608,374.3507931,2998.589153,2180.613174,19178.54272,10618.25161,11577.03728,2271.721385,11162.27986
,,,,,,,,80,3651.544974,382.4935583,3072.11726,2281.049167,20155.47804,11891.70508,12222.34189,2604.015001,10399.33664
,,,,,,,,81,3333.947785,354.4140326,2970.561146,2241.069676,20211.7295,12873.85818,11854.42942,2382.674485,9229.900517
,,,,,,,,82,3122.99708,327.782154,2777.593305,2039.901867,20050.13915,10926.36773,10777.94988,1947.99522,8043.740472
,,,,,,,,83,2963.968009,310.6180226,2610.160692,1950.491424,19875.18503,9846.007139,9758.159471,1602.901318,7255.400509
,,,,,,,,84,2882.76365,300.0897711,2508.558305,1849.717066,19416.31309,8863.871628,8968.130035,1285.374176,6707.009552
,,,,,,,,85,2829.967491,296.3318326,2463.145826,1689.654653,19137.76755,8143.22346,8577.156068,1150.966772,6378.202438
,,,,,,,,86,2861.915242,303.7091879,2475.509299,1623.782335,18719.86461,8187.146666,8754.591364,1269.021246,6298.216547
,,,,,,,,87,2969.917929,308.6160891,2554.616623,1652.176292,18601.84381,8506.735794,9245.547864,1480.033647,6385.336356
,,,,,,,,88,3177.488985,326.2113433,2727.06039,1749.853919,18766.09372,9390.368731,10192.94275,1820.633405,6937.024147
,,,,,,,,89,3583.669698,353.7764736,3005.768197,2009.58952,19720.28445,10532.44342,11196.08885,2233.435035,8176.990852
,,,,,,,,90,3898.536715,394.5555218,3319.094319,2368.416559,20737.09465,11921.48684,12067.25452,2620.589115,8821.423995
,,,,,,,,91,3920.280374,401.8914901,3405.27633,2475.530806,20706.52581,13314.70244,13201.96594,2985.867519,8825.25087
,,,,,,,,92,3906.442962,397.4266818,3384.025688,2447.780929,20304.7151,13488.24371,13365.1872,2977.371511,8907.186401
,,,,,,,,93,3839.235916,388.1666673,3374.728963,2410.088864,19416.41641,13138.84547,13172.40525,2830.731462,8727.064358
,,,,,,,,94,3689.996379,369.2088338,3239.322451,2317.440209,18415.83717,12719.94669,13007.75093,2704.785811,8291.761292
,,,,,,,,95,3550.64113,345.2210352,3059.48797,2111.642145,17009.32258,12159.84837,12857.111,2564.649156,8040.724206
,,,,,,,,96,3414.249984,320.4261404,2845.352185,1967.113846,15996.66163,11557.34428,12501.7502,2483.737923,7874.004699
,,,,,,,,97,3359.890342,306.4024337,2646.644653,1906.354596,15489.26408,10710.04939,11703.37439,2350.798553,7738.319123
,,,,,,,,98,3316.404011,298.0422621,2550.26509,1813.086596,15275.96412,10064.72913,11176.44102,2259.826387,7724.862957
,,,,,,,,99,3280.823927,297.3697983,2491.646398,1740.444012,15242.30869,9464.787948,10727.40713,2135.26754,7800.96892
,,,,,,,,100,3292.683297,297.5971774,2465.98023,1762.386281,15571.85738,9139.403688,10384.20269,2045.05288,8128.46273
,,,,,,,,101,3380.645967,307.3877432,2510.237879,1797.833464,16414.70133,9148.764227,10372.08587,2027.756493,8743.00704
,,,,,,,,102,3536.803718,331.0820433,2692.138846,1946.469631,17925.68993,9578.563444,10678.70266,2087.223651,9607.81297
,,,,,,,,103,3692.961468,359.0159665,2929.716791,2140.308179,19671.87101,10553.33364,11404.8223,2260.921541,10315.59483
,,,,,,,,104,3704.869204,373.4863535,3075.842645,2230.711951,20736.84473,11860.73127,12228.85493,2637.248376,9972.55416
,,,,,,,,105,3607.530573,388.9221045,3152.461129,2207.385552,20879.9145,13282.50727,12817.3706,2859.024409,9219.156265
,,,,,,,,106,3666.416812,387.7240758,3131.518638,2132.457521,20521.142,13246.648,13371.75954,2941.995785,8204.544816
,,,,,,,,107,3540.577199,380.8710887,3062.102828,2097.365522,20224.27464,12864.1068,12996.73115,2837.592078,7714.818685
,,,,,,,,108,3547.6563,383.4100557,3045.507932,2118.57071,19984.07592,13076.81968,12348.52087,2745.148941,7422.291881
,,,,,,,,109,3447.052518,369.6341723,3048.894645,2090.377595,19470.2523,12790.99103,12240.45782,2511.839047,7469.085844
,,,,,,,,110,3391.865731,372.7506624,3030.397677,2014.269245,18920.41674,12650.25073,12072.32461,2631.471169,7437.653012
,,,,,,,,111,3474.999768,353.3170281,3045.393729,2015.860153,18891.02764,12206.88557,11913.16535,2524.895749,7222.5578
,,,,,,,,112,3532.276133,353.6888129,3019.840779,2025.731107,18991.64267,11704.74834,11799.15261,2436.694255,7300.614559
,,,,,,,,113,3686.043255,356.6656843,3123.813865,2116.154666,19927.89039,11198.76137,11493.7811,2407.438276,8067.19065
,,,,,,,,114,3944.000102,388.8677529,3344.872722,2327.592145,20544.58618,11552.96691,12084.44143,2563.479621,8598.998159
,,,,,,,,115,3918.303319,390.7433314,3393.603983,2368.963681,20471.60097,12614.26444,12897.17754,2824.461974,8585.558746
,,,,,,,,116,3882.723235,382.8967574,3326.828628,2320.467685,19820.10151,12759.78272,12643.31734,2799.923281,8493.181582
,,,,,,,,117,3810.574045,369.8097928,3301.259926,2257.571394,19114.5054,12394.72169,12568.59037,2688.549345,8275.505305
,,,,,,,,118,3695.926557,353.03071,3188.820057,2144.14496,18224.67374,12030.29578,12515.646,2599.3995,7961.448789
,,,,,,,,119,3533.838628,331.6764202,3023.527768,1970.088884,16951.2902,11641.64776,12417.58476,2481.65527,7815.356627
,,,,,,,,120,3366.809542,311.6082187,2814.08908,1770.751412,15869.70376,11175.39911,12149.37413,2422.509123,7646.679392
,,,,,,,,121,3308.496777,300.4137864,2616.407406,1644.576934,15055.97735,10382.36212,11318.54185,2276.218465,7450.287304
,,,,,,,,122,3240.301698,290.0435036,2504.99438,1546.133534,14832.84199,9829.719019,10884.94554,2197.779403,7428.170072
,,,,,,,,123,3189.896167,287.7816798,2417.572872,1486.238994,14669.79641,9251.256268,10440.03296,2077.558109,7453.228373
,,,,,,,,124,3216.580983,286.2092734,2361.598572,1505.999701,14663.68717,8823.23145,10109.94353,1979.415082,7613.107723
,,,,,,,,125,3236.348574,292.2318281,2333.9624,1538.63707,15052.53653,8651.629709,9988.567798,1929.366836,7940.594119
,,,,,,,,126,3306.520709,305.0082407,2405.616986,1638.2133,15902.51596,8755.514105,10037.08449,1949.565039,8430.87465
,,,,,,,,127,3404.366682,319.4667601,2521.937792,1740.016603,17236.08668,9212.335772,10325.10108,2027.910147,8998.935895
,,,,,,,,128,3436.614495,324.7481387,2593.997996,1820.159609,18508.26292,10070.19107,10604.70705,1947.836673,9042.91569
,,,,,,,,129,3166.456761,311.6543926,2750.477938,1809.834533,19218.47466,10928.69321,10399.04727,2000.343388,9111.205955
,,,,,,,,130,3124.419414,297.8504858,2414.131026,1824.924419,19344.01468,11342.03234,10194.12874,1534.083757,8753.109659
,,,,,,,,131,3295.676023,288.9346315,2292.220173,1842.486743,19132.62059,10983.13676,8347.711355,1184.268654,8797.368291
,,,,,,,,132,3050.707729,321.9612486,2194.785216,1925.138793,18816.84204,11209.51915,7610.098526,1083.415635,7659.760824
,,,,,,,,133,2823.32269,296.1055505,2177.841804,1896.082947,18493.3337,11523.65416,7045.111821,1396.423187,7958.402868
,,,,,,,,134,2887.678157,285.0410633,2300.58949,1822.109659,18105.12784,11514.3327,7518.684738,992.2731767,7637.666122
,,,,,,,,135,2843.410085,289.497694,2326.52246,1873.724153,18022.30035,11272.15074,8675.027548,1183.907518,7284.25266
,,,,,,,,136,3141.701621,306.5912182,2405.306865,1893.542242,18226.75771,10900.75816,9102.669222,1715.47415,7398.412183
,,,,,,,,137,3608.171167,335.9267143,2725.148472,2002.265207,19146.22347,10381.21892,9938.015165,1982.54689,8096.198396
,,,,,,,,138,3871.850912,370.2227651,3075.66248,2192.832894,19909.11301,10764.93263,10714.74674,2298.318263,8582.779144
,,,,,,,,139,3847.14315,372.0224509,3184.09441,2270.480706,19923.00516,11878.18213,11662.65556,2611.037102,8471.974419
,,,,,,,,140,3800.690743,364.1244173,3170.297491,2221.044807,19469.94532,11891.92004,11772.4284,2637.108423,8344.861136
,,,,,,,,141,3727.553518,351.3310511,3079.02458,2142.186995,18925.22325,11597.34642,11664.24675,2572.894619,8209.058094
,,,,,,,,142,3607.964874,335.9138495,3029.196575,2029.105851,18030.20527,11263.5621,11568.16216,2489.407473,7970.133252
,,,,,,,,143,3475.526851,318.3864101,2814.708336,1879.953232,16901.9499,10879.78,11440.24374,2386.234959,7818.251769
,,,,,,,,144,3344.077849,299.7486027,2662.213689,1677.904884,15860.59943,10257.43117,11060.26386,2292.05269,7681.341855
,,,,,,,,145,3291.695263,292.2737138,2505.992673,1550.963643,15490.47333,9833.627386,10677.86259,2219.500447,7542.775868
,,,,,,,,146,3225.476251,281.7518449,2397.925996,1448.912996,15316.65565,9456.062518,10477.70776,2196.136182,7496.589067
,,,,,,,,147,3177.047775,280.1624848,2320.687271,1403.258473,15292.92417,8936.451958,10068.79972,2080.800509,7554.410836
,,,,,,,,148,3162.222329,278.5901782,2270.62003,1410.033685,15280.93101,8523.656092,9725.02007,1972.344047,7651.688434
,,,,,,,,149,3177.047775,282.9645335,2241.338742,1426.531446,15548.3896,8316.017253,9579.68545,1934.017571,7903.081479
,,,,,,,,150,3206.697681,289.8869311,2300.574722,1487.290696,16153.36969,8376.314563,9562.263323,1936.026821,8386.62372
,,,,,,,,151,3265.99848,299.7532899,2383.297166,1579.761263,17489.0539,8728.875652,9761.319134,2001.071533,8975.714871
,,,,,,,,152,3308.911337,306.9550248,2424.717459,1655.0425,18836.45478,9468.644529,10117.82045,2011.460327,8591.992588
,,,,,,,,153,3373.774146,319.0824096,2444.27179,1659.300752,19507.68997,9822.332206,9894.123817,1643.908427,8037.630239
,,,,,,,,154,3405.448485,319.0352384,2537.511751,1628.069279,19750.75391,9369.914292,9793.543349,1470.411168,7415.744811
,,,,,,,,155,3355.296625,334.9802986,2544.61302,1595.857339,19526.05902,9392.024901,8738.757468,1211.674909,6899.399241
,,,,,,,,156,3348.378413,279.1859514,2552.661387,1587.985904,19262.24492,8384.673583,8698.954806,1055.905639,6474.675782
,,,,,,,,157,3390.623039,269.3228836,2430.874582,1539.567079,18845.2718,8205.107567,8336.749883,950.3007864,6165.832621
,,,,,,,,158,3357.019022,275.5678311,2385.088974,1520.239717,18405.80696,8564.299201,8231.376057,1031.28963,6095.96591
,,,,,,,,159,3242.626193,282.1228319,2334.222311,1521.889988,18215.70322,8624.786067,7833.943411,1193.660163,6294.385051
