Time_Index,Central_Solar,IID_Solar,LADWP_Solar,NCNC_Solar,North_Solar,PGE_Solar,SCE_Solar,SDGE_Solar,South_Solar,Central_Wind,LADWP_Wind,NCNC_Wind,North_Wind,PGE_Wind,SCE_Wind,SDGE_Wind,South_Wind,LADWP_Hydro,NCNC_Hydro,North_Hydro,PGE_Hydro,SCE_Hydro,South_Hydro,Central_Solar_Invest,IID_Solar_Invest,LADWP_Solar_Invest,NCNC_Solar_Invest,North_Solar_Invest,PGE_Solar_Invest,SCE_Solar_Invest,SDGE_Solar_Invest,South_Solar_Invest,Central_Wind_Invest,LADWP_Wind_Invest,NCNC_Wind_Invest,North_Wind_Invest,PGE_Wind_Invest,SCE_Wind_Invest,SDGE_Wind_Invest,South_Wind_Invest,Central_Solar_LowerQuality_Invest,IID_Solar_LowerQuality_Invest,LADWP_Solar_LowerQuality_Invest,NCNC_Solar_LowerQuality_Invest,North_Solar_LowerQuality_Invest,PGE_Solar_LowerQuality_Invest,SCE_Solar_LowerQuality_Invest,SDGE_Solar_LowerQuality_Invest,South_Solar_LowerQuality_Invest,Central_Wind_LowerQuality_Invest,LADWP_Wind_LowerQuality_Invest,NCNC_Wind_LowerQuality_Invest,North_Wind_LowerQuality_Invest,PGE_Wind_LowerQuality_Invest,SCE_Wind_LowerQuality_Invest,SDGE_Wind_LowerQuality_Invest,South_Wind_LowerQuality_Invest
11,0.498051435,0.832001449,0.851976829,0.788933569,0.136589298,0.690220391,0.801487875,0.721458849,0.642452185,0.840000671,0.600953333,0.382111261,0.880001133,0.110768187,0.207880955,0.269672687,0.730000974,0.064592534,0.011046211,0.934084191,0.00E+00,0.044417545,0.129312537,0.498051435,0.832001449,0.851976829,0.788933569,0.136589298,0.690220391,0.801487875,0.721458849,0.642452185,0.840000671,0.600953333,0.382111261,0.880001133,0.110768187,0.207880955,0.269672687,0.730000974,0.373538576,0.624001087,0.638982622,0.591700177,0.102441974,0.517665293,0.601115906,0.541094137,0.481839139,0.630000503,0.450715,0.286583446,0.66000085,0.08307614,0.155910716,0.202254515,0.547500731
12,0.278635586,0.819001449,0.863391463,0.81257272,0.19709866,0.674692919,0.760462584,0.81450886,0.730747137,0.800000671,0.572905714,0.382111261,0.870001106,0.1101615,0.209783245,0.269672687,0.730000974,0.064577874,0.01104619,0.942854983,0.00E+00,0.044412101,0.129214988,0.278635586,0.819001449,0.863391463,0.81257272,0.19709866,0.674692919,0.760462584,0.81450886,0.730747137,0.800000671,0.572905714,0.382111261,0.870001106,0.1101615,0.209783245,0.269672687,0.730000974,0.20897669,0.614251087,0.647543597,0.60942954,0.147823995,0.506019689,0.570346938,0.610881645,0.548060353,0.600000503,0.429679286,0.286583446,0.65250083,0.082621125,0.157337434,0.202254515,0.547500731
13,0.601751734,0.702001377,0.863391463,0.686916274,0.628602372,0.734734103,0.804918507,0.769708913,0.764873471,0.770000671,0.554858095,0.377459882,0.880001133,0.111319743,0.213318075,0.273015527,0.720001106,0.064578283,0.01104619,0.934514549,0.00E+00,0.044412101,0.129214677,0.601751734,0.702001377,0.863391463,0.686916274,0.628602372,0.734734103,0.804918507,0.769708913,0.764873471,0.770000671,0.554858095,0.377459882,0.880001133,0.111319743,0.213318075,0.273015527,0.720001106,0.451313801,0.526501033,0.647543597,0.515187206,0.471451779,0.551050577,0.60368888,0.577281685,0.573655103,0.577500503,0.416143571,0.283094912,0.66000085,0.083489807,0.159988556,0.204761645,0.54000083
14,0.728289387,0.611001304,0.863391463,0.705741745,0.43499267,0.755113813,0.742557919,0.647099857,0.624015197,0.810001342,0.588881905,0.388157124,0.900000953,0.130768153,0.226904895,0.286358358,0.720001106,0.064601553,0.01104619,0.926520426,0.00E+00,0.04441324,0.129214677,0.728289387,0.611001304,0.863391463,0.705741745,0.43499267,0.755113813,0.742557919,0.647099857,0.624015197,0.810001342,0.588881905,0.388157124,0.900000953,0.130768153,0.226904895,0.286358358,0.720001106,0.54621704,0.458250978,0.647543597,0.529306309,0.326244503,0.56633536,0.556918439,0.485324893,0.468011398,0.607501007,0.441661429,0.291117843,0.675000715,0.098076115,0.170178671,0.214768769,0.54000083
15,0.681759551,0.650001304,0.835489024,0.638840802,0.246179734,0.637648221,0.757497487,0.600522455,0.571842944,0.800000671,0.632667619,0.394202986,0.870001106,0.148838253,0.340811374,0.386458215,0.680001106,0.065269381,0.01104619,0.91949337,2.00E-05,0.04452898,0.129214741,0.681759551,0.650001304,0.835489024,0.638840802,0.246179734,0.637648221,0.757497487,0.600522455,0.571842944,0.800000671,0.632667619,0.394202986,0.870001106,0.148838253,0.340811374,0.386458215,0.680001106,0.511319663,0.487500978,0.626616768,0.479130602,0.184634801,0.478236166,0.568123115,0.450391841,0.428882208,0.600000503,0.474500714,0.29565224,0.65250083,0.11162869,0.255608531,0.289843661,0.51000083
16,0.54338852,0.299001304,0.729586829,0.325757586,0.153963602,0.346178078,0.579170735,0.388701856,0.352363015,0.830001342,0.722429524,0.388854365,0.870001106,0.154338403,0.522837621,0.536572386,0.670000974,0.078364579,0.011050824,0.930576022,0.00308,0.05127339,0.129391117,0.54338852,0.299001304,0.729586829,0.325757586,0.153963602,0.346178078,0.579170735,0.388701856,0.352363015,0.830001342,0.722429524,0.388854365,0.870001106,0.154338403,0.522837621,0.536572386,0.670000974,0.40754139,0.224250978,0.547190122,0.24431819,0.115472702,0.259633559,0.434378051,0.291526392,0.264272261,0.622501007,0.541822143,0.291640774,0.65250083,0.115753802,0.392128216,0.40242929,0.502500731
17,0.023149392,0.039001297,0.242562268,0.034627083,0,0.02688691,0.110378039,0.020270531,0.014965437,0.820001342,0.73334619,0.368854365,0.850001025,0.140957798,0.572551307,0.563286673,0.630000961,0.228723897,0.254917346,0.970570206,0.16118,0.229251235,0.390907415,0.023149392,0.039001297,0.242562268,0.034627083,0,0.02688691,0.110378039,0.020270531,0.014965437,0.820001342,0.73334619,0.368854365,0.850001025,0.140957798,0.572551307,0.563286673,0.630000961,0.017362044,0.029250973,0.181921701,0.025970312,0,0.020165183,0.082783529,0.015202898,0.011224078,0.615001007,0.550009643,0.276640774,0.637500769,0.105718349,0.42941348,0.422465005,0.472500721
18,0,0,0,0,0,0,0,0,0,0.760001342,0.688286667,0.359551607,0.800001084,0.134614968,0.560261227,0.539972382,0.580000961,0.50804876,0.7141094,0.998307265,0.56765,0.607418681,0.793997598,0,0,0,0,0,0,0,0,0,0.760001342,0.688286667,0.359551607,0.800001084,0.134614968,0.560261227,0.539972382,0.580000961,0,0,0,0,0,0,0,0,0,0.570001007,0.516215,0.269663705,0.600000813,0.100961226,0.42019592,0.404979287,0.435000721
19,0,0,0,0,0,0,0,0,0,0.720001342,0.666215238,0.354202986,0.730001193,0.121526819,0.583464033,0.553315308,0.580000961,0.577419649,0.816328609,0.987692972,1,0.93572649,0.814268753,0,0,0,0,0,0,0,0,0,0.720001342,0.666215238,0.354202986,0.730001193,0.121526819,0.583464033,0.553315308,0.580000961,0,0,0,0,0,0,0,0,0,0.540001007,0.499661429,0.26565224,0.547500895,0.091145114,0.437598025,0.414986481,0.435000721
20,0,0,0,0,0,0,0,0,0,0.680001342,0.647131905,0.349551607,0.660001042,0.11728041,0.612164809,0.560015349,0.540001106,0.568507122,0.792550068,0.976988288,1,0.95319736,0.788503668,0,0,0,0,0,0,0,0,0,0.680001342,0.647131905,0.349551607,0.660001042,0.11728041,0.612164809,0.560015349,0.540001106,0,0,0,0,0,0,0,0,0,0.510001007,0.485348929,0.262163705,0.495000782,0.087960308,0.459123607,0.420011512,0.40500083
