Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
10000,1,1,1,10000,1,8760,8760,1,4245.244,361.8244,4494.077,2718.098,21393.808,20004.51,18683.92,4221.107,12983.8563
,,,,,,,,2,4200.102,365.3071,4566.773,2721.229,21139.447,18959.98,18415.6,4133.936,12937.9538
,,,,,,,,3,4172.576,378.2267,4637.77,2607.418,21188.4,17202.37,17198.01,3721.951,13133.7082
,,,,,,,,4,4206.708,420.6961,4739.95,2678.933,21496.889,15887.26,16703.76,3410.508,13610.0395
,,,,,,,,5,4283.779,472.6567,5025.778,2743.957,22344.414,15621.89,17024.88,3395.01,14407.0971
,,,,,,,,6,4422.508,527.376,5469.87,2992.963,23778.057,16592.2,18171.96,3560.574,15414.854
,,,,,,,,7,4585.459,580.0013,6144.521,3361.627,25598.212,19211.11,20608.38,4032.927,16491.1036
,,,,,,,,8,4251.137,596.584,6344.264,3553.043,27030.773,21990.35,22404.57,4640.004,15344.2935
,,,,,,,,9,3474.348,458.9613,5442.28,3258.633,27424.707,23184.04,20532.02,4235.803,14924.876
,,,,,,,,10,2886.191,300.1454,3811.777,2443.297,27212.545,19874.46,15758.54,3057.346,12216.069
,,,,,,,,11,2456.079,226.9664,2831.037,1936.563,26934.531,16667.34,12543.21,2355.275,11618.8223
,,,,,,,,12,2284.449,199.4288,2426.148,1766.129,26477.287,13596.79,9817.053,1726.559,10662.5304
,,,,,,,,13,2286.036,201.6922,2393.954,1699.804,25517.231,12247.97,8992.463,1620.105,9680.8427
,,,,,,,,14,2534.852,219.6545,2475.146,1644.582,25175.472,12165.55,9347.771,1729.972,9761.6334
,,,,,,,,15,2967.894,250.5942,2739.322,1799.557,25126.45,13294.45,10443.86,2094.664,9647.9396
,,,,,,,,16,3649.88,302.1357,3257.258,2149.931,25604.125,14688.45,11995.59,2636.464,11111.9269
,,,,,,,,17,4594.883,391.7361,4160.056,2607.261,26834.145,16400.24,13593.64,3430.852,13824.1025
,,,,,,,,18,4967.513,468.9012,4971.258,3191.833,28092.269,18647.19,15838.04,4008.143,14665.1531
,,,,,,,,19,4984.029,483.1255,5275.49,3453.406,28033.96,21359.95,17507.43,4473.962,14725.4531
,,,,,,,,20,4952.099,483.7384,5410.377,3483.694,27435.148,21418.13,17995.17,4426.285,14769.0138
,,,,,,,,21,4877.229,466.9318,5233.962,3424.219,26572.679,20988.56,17951.77,4277.168,14617.5061
,,,,,,,,22,4705.47,444.7271,5013.696,3284.521,25016.823,20976.71,18912.21,4174.321,13975.3866
,,,,,,,,23,4555.731,422.1155,4789.92,3045.918,23550.374,20893.69,19067.83,4065.377,13523.2774
,,,,,,,,24,4367.457,406.6432,4531.511,2985.326,22285.586,21499.29,19827.92,4247.033,13343.5494
,,,,,,,,25,4338.831,380.9557,4248.779,3131.814,22280.287,22271.76,19198.81,4322.509,13338.5454
,,,,,,,,26,4295.891,372.3353,4092.503,3037.069,21957.58,20287,17433.01,3892.875,13415.8438
,,,,,,,,27,4263.961,380.3182,4094.764,2968.665,21965.437,18514.27,16006.8,3433.492,13649.4052
,,,,,,,,28,4298.093,400.5805,4147.546,2988.49,22480.027,17546.55,15042.68,3117.651,14173.6141
,,,,,,,,29,4396.083,434.6034,4476.663,3096.65,23687.633,17634.57,15397.64,3151.171,15283.0729
,,,,,,,,30,4596.469,508.7415,5133.1,3385.766,25749.442,18946.48,17019.2,3417.321,16481.504
,,,,,,,,31,4794.653,593.2142,6007.254,3888.338,28076.03,22811.21,20162.29,4115.554,17692.949
,,,,,,,,32,4460.573,626.0101,6215.102,4087.755,29362.276,26100.01,22400.3,4984.998,16429.9059
,,,,,,,,33,3638.643,502.0012,5216.729,3694.802,29310.215,26659.31,20924.91,4433.472,13684.657
,,,,,,,,34,2933.292,337.6382,4015.55,3029.653,28757.612,21585.45,16970.03,3326.578,11673.168
,,,,,,,,35,2495.716,252.1526,3205.683,2533.39,27997.249,17832.01,14197.89,2605.904,10297.9721
,,,,,,,,36,2333.995,218.4007,2841.604,2223.599,27341.154,15060.07,11592.42,1964.696,10773.6236
,,,,,,,,37,2343.532,213.5248,2750.792,1978.072,26481.173,13332.92,10445.07,1744.361,9039.1865
,,,,,,,,38,2545.862,235.6073,2877.602,1788.251,25894.646,12782.23,10803.61,1918.123,9136.464
,,,,,,,,39,2975.601,268.6954,3107.628,1842.017,25944.773,12797.68,11789.42,2224.383,9697.2484
,,,,,,,,40,3631.163,320.2369,3586.628,2117.653,26054.933,14284.94,13271.94,2806.79,11104.1549
,,,,,,,,41,4547.539,402.5049,4325.629,2662.447,26931.402,16142.71,14416.63,3523.602,13733.4184
,,,,,,,,42,4956.503,470.613,4984.578,3254.2,28233.28,18962.8,16090.46,4034.426,14702.5851
,,,,,,,,43,4985.13,485.9114,5306.063,3596.603,28163.63,21753.9,18085.04,4564.755,14732.0751
,,,,,,,,44,4947.695,488.4692,5421.311,3646.822,27476.153,22393,18707.49,4516.554,14831.4211
,,,,,,,,45,4888.24,477.7004,5383.632,3663.568,26563.15,22301.65,18714.12,4383.583,14554.9899
,,,,,,,,46,4716.48,454.4217,5181.644,3525.006,25148.14,22123.66,19713.52,4265.686,14145.5977
,,,,,,,,47,4528.206,422.5224,4907.844,3288.146,23458.462,22049.81,19850.85,4133.448,13797.1292
,,,,,,,,48,4358.649,402.0591,4617.19,3138.231,22063.397,22384.02,20244.3,4332.699,13591.3903
,,,,,,,,49,4299.194,380.9557,4674.432,3027.715,21185.562,21912.9,20091.5,4489.563,13559.1365
,,,,,,,,50,4244.143,370.3905,4520.978,2849.409,20803.687,19794.73,18355.16,4101.538,13626.8961
,,,,,,,,51,4217.718,375.3543,4547.225,2784.705,20662.923,17871.23,17012.36,3633.127,13809.3243
,,,,,,,,52,4262.86,388.5045,4714.293,2771.464,20981.106,16549.71,16304.66,3318.906,14369.9601
,,,,,,,,53,4363.053,424.6757,5047.258,2878.635,22077.894,16391.01,16617.56,3306.42,15347.7219
,,,,,,,,54,4552.428,482.6718,5638.344,3152.768,23898.698,17634.28,18237.54,3565.161,16725.526
,,,,,,,,55,4740.703,554.0215,6503.439,3720.657,25762.142,21836.84,21314.14,4351.563,17755.934
,,,,,,,,56,4333.47,583.1312,6533.004,3927.818,26947.917,25054,23518.8,5003.611,15972.2395
,,,,,,,,57,3565.732,450.5122,5637.488,3674.35,27002.487,25622.35,22111.92,4449.959,13664.88
,,,,,,,,58,2976.96,330.7838,4388.285,2866.682,26529.092,21585.89,18189.29,3461.727,11608.504
,,,,,,,,59,2596.881,261.4946,3399.385,2479.299,26022.278,18543.26,14827.47,2648.791,10284.2682
,,,,,,,,60,2414.24,230.9819,2951.222,2048.765,25576.146,15622.9,12029.95,2029.137,9446.874
,,,,,,,,61,2394.908,217.9469,2755.7,1906.83,25261.324,14030.76,10538.9,1752.097,9032.867
,,,,,,,,62,2604.945,230.4775,2773.451,1938.919,24637.003,14978.96,10663.2,1906.242,9152.1287
,,,,,,,,63,2995.905,260.2991,2977.641,2156.722,24566.147,15344.15,11607.31,2188.425,9693.8326
,,,,,,,,64,3650.367,317.8786,3531.507,2386.89,24624.502,15712.49,13076.56,2740.277,11032.4782
,,,,,,,,65,4494.689,399.0453,4277.741,2765.858,25465.375,17037.63,14373.24,3501.763,13595.6655
,,,,,,,,66,4857.411,472.4087,5082.609,3285.444,26683.882,19375.41,16481.22,4178.777,14550.6283
,,,,,,,,67,4888.24,496.0698,5421.81,3571.168,26689.523,22416.76,18660.56,4744.063,14690.0484
,,,,,,,,68,4903.654,494.5343,5482.688,3578.606,26183.957,22710.14,18937.65,4620.763,14709.1111
,,,,,,,,69,4835.391,476.8297,5327.437,3503.993,25203.685,22174.13,18790.97,4486.924,14517.1516
,,,,,,,,70,4655.924,448.3837,5101.862,3255.909,23689.605,21689.25,19638.39,4332.74,13999.2208
,,,,,,,,71,4478.66,420.6047,4980.828,3093.675,22026.913,21676.04,20088.58,4256.235,13634.3357
,,,,,,,,72,4304.699,397.0952,4810.732,2945.97,20739.6,22427.06,20905.51,4487.142,13392.8378
,,,,,,,,73,4243.042,418.4614,4464.011,2977.18,19926.241,21921.62,20193.91,4522.732,13259.8778
,,,,,,,,74,4200.102,419.9721,4328.834,2878.041,19461.254,19842.75,18532.75,4147.292,13308.2504
,,,,,,,,75,4168.172,425.983,4365.663,2820.147,19290.62,17868.98,17280.66,3717.946,13519.3798
,,,,,,,,76,4199.001,442.1521,4510.669,2837.408,19661.089,16545.89,16716.72,3409.829,14030.6328
,,,,,,,,77,4298.093,475.128,4817.661,2969.26,20722.087,16544.93,16971.1,3385.998,14974.3315
,,,,,,,,78,4488.569,530.2814,5340.572,3257.161,22565.834,17778.66,18442.75,3610.853,16313.213
,,,,,,,,79,4679.046,593.472,6114.406,3818.092,24493.788,22209,21268.42,4197.852,17367.107
,,,,,,,,80,4399.159,614.1918,6200.773,4068.06,25699.748,26076.67,23448.41,4990.392,15607.1122
,,,,,,,,81,3527.197,478.3544,5341.704,3824.377,25723.573,27637.91,22135.11,4517.064,13340.275
,,,,,,,,82,2965.95,329.0864,4068.451,3091.552,25328.859,22315.32,17573.69,3490.352,11347.415
,,,,,,,,83,2596.881,260.0175,3207.256,2521.254,25142.539,17986.63,14151.03,2694.381,10053.5398
,,,,,,,,84,2429.655,229.532,2810.5,2069.628,24371.505,14795.08,11537.46,1974.548,9249.3124
,,,,,,,,85,2409.221,222.535,2697.667,1714.75,24121.736,12734.77,10377.02,1694.093,8952.8664
,,,,,,,,86,2598.338,242.4252,2794.207,1654.651,23565.729,12534.4,10581.25,1856.509,9138.9203
,,,,,,,,87,2968.137,268.9532,3054.973,1776.311,23534.174,12884.33,11533.1,2184.098,9756.1121
,,,,,,,,88,3564.001,323.5409,3515.266,2015.597,23852.191,14250.39,13057.49,2695.582,11119.1112
,,,,,,,,89,4477.073,399.2655,4287.361,2561.698,25140.802,16053.24,14195.33,3350.756,13401.578
