Time_Index,Central_Solar,IID_Solar,LADWP_Solar,NCNC_Solar,North_Solar,PGE_Solar,SCE_Solar,SDGE_Solar,South_Solar,Central_Wind,LADWP_Wind,NCNC_Wind,North_Wind,PGE_Wind,SCE_Wind,SDGE_Wind,South_Wind,LADWP_Hydro,NCNC_Hydro,North_Hydro,PGE_Hydro,SCE_Hydro,South_Hydro,Central_Solar_Invest,IID_Solar_Invest,LADWP_Solar_Invest,NCNC_Solar_Invest,North_Solar_Invest,PGE_Solar_Invest,SCE_Solar_Invest,SDGE_Solar_Invest,South_Solar_Invest,Central_Wind_Invest,LADWP_Wind_Invest,NCNC_Wind_Invest,North_Wind_Invest,PGE_Wind_Invest,SCE_Wind_Invest,SDGE_Wind_Invest,South_Wind_Invest,Central_Solar_LowerQuality_Invest,IID_Solar_LowerQuality_Invest,LADWP_Solar_LowerQuality_Invest,NCNC_Solar_LowerQuality_Invest,North_Solar_LowerQuality_Invest,PGE_Solar_LowerQuality_Invest,SCE_Solar_LowerQuality_Invest,SDGE_Solar_LowerQuality_Invest,South_Solar_LowerQuality_Invest,Central_Wind_LowerQuality_Invest,LADWP_Wind_LowerQuality_Invest,NCNC_Wind_LowerQuality_Invest,North_Wind_LowerQuality_Invest,PGE_Wind_LowerQuality_Invest,SCE_Wind_LowerQuality_Invest,SDGE_Wind_LowerQuality_Invest,South_Wind_LowerQuality_Invest
1,0,0,0,0,0,0,0,0,0,0.460001007,0.328524762,0.331634029,0.150001021,0.199757811,0.115364099,0.086572481,0.220000961,0.198148942,0.011877089,0.815988825,0.11744,0.185104102,0.241902143,0,0,0,0,0,0,0,0,0,0.460001007,0.328524762,0.331634029,0.150001021,0.199757811,0.115364099,0.086572481,0.220000961,0,0,0,0,0,0,0,0,0,0.345000755,0.246393572,0.248725522,0.112500766,0.149818358,0.086523074,0.064929361,0.165000721
2,0,0,0,0,0,0,0,0,0,0.480001007,0.345536667,0.326285409,0.100001013,0.186228082,0.123126059,0.093243906,0.220000961,0.177205024,0.01147912,0.804818112,0.10235,0.169464197,0.240679472,0,0,0,0,0,0,0,0,0,0.480001007,0.345536667,0.326285409,0.100001013,0.186228082,0.123126059,0.093243906,0.220000961,0,0,0,0,0,0,0,0,0,0.360000755,0.2591525,0.244714057,0.07500076,0.139671062,0.092344544,0.06993293,0.165000721
3,0,0,0,0,0,0,0,0,0,0.490001007,0.352548571,0.269542304,0.090001026,0.118748657,0.116394556,0.079929605,0.180000974,0.168207886,0.011141469,0.781914326,0.09737,0.164237021,0.253766152,0,0,0,0,0,0,0,0,0,0.490001007,0.352548571,0.269542304,0.090001026,0.118748657,0.116394556,0.079929605,0.180000974,0,0,0,0,0,0,0,0,0,0.367500755,0.264411428,0.202156728,0.06750077,0.089061493,0.087295917,0.059947204,0.135000731
4,0,0,0,0,0,0,0,0,0,0.490001007,0.355536667,0.230936858,0.090001026,0.102168347,0.108721738,0.076615296,0.150001027,0.166316749,0.01118627,0.78661956,0.08993,0.15637599,0.279953303,0,0,0,0,0,0,0,0,0,0.490001007,0.355536667,0.230936858,0.090001026,0.102168347,0.108721738,0.076615296,0.150001027,0,0,0,0,0,0,0,0,0,0.367500755,0.2666525,0.173202644,0.06750077,0.07662626,0.081541304,0.057461472,0.11250077
5,0,0,0,0,0,0,0,0,0,0.500001007,0.362548571,0.201634123,0.090001026,0.086139708,0.101680596,0.069958155,0.130000988,0.172740907,0.011481314,0.803629354,0.09644,0.163259827,0.354494247,0,0,0,0,0,0,0,0,0,0.500001007,0.362548571,0.201634123,0.090001026,0.086139708,0.101680596,0.069958155,0.130000988,0,0,0,0,0,0,0,0,0,0.375000755,0.271911428,0.151225592,0.06750077,0.064604781,0.076260447,0.052468616,0.097500741
6,0,0,0,0,0,0,0,0,0,0.490001007,0.358524762,0.176982743,0.14000102,0.075350615,0.100739298,0.06997242,0.110000988,0.204916262,0.083204157,0.833882612,0.1242,0.192038918,0.488960348,0,0,0,0,0,0,0,0,0,0.490001007,0.358524762,0.176982743,0.14000102,0.075350615,0.100739298,0.06997242,0.110000988,0,0,0,0,0,0,0,0,0,0.367500755,0.268893572,0.132737057,0.105000765,0.056512961,0.075554474,0.052479315,0.082500741
7,0,0,0,0.016353498,0,0,0,0.012306723,0.006480143,0.490001007,0.361512857,0.102560654,0.100001013,0.070717642,0.070599245,0.056672385,0.050000994,0.248234955,0.255664959,0.883824264,0.18334,0.251109002,0.709673064,0,0,0,0.016353498,0,0,0,0.012306723,0.006480143,0.490001007,0.361512857,0.102560654,0.100001013,0.070717642,0.070599245,0.056672385,0.050000994,0,0,0,0.012265124,0,0,0,0.009230042,0.004860107,0.367500755,0.271134643,0.076920491,0.07500076,0.053038232,0.052949434,0.042504289,0.037500746
8,0.10393496,0.299001304,0.230513512,0.289711203,0,0.047362642,0.207333624,0.448588723,0.295749004,0.500001007,0.368524762,0.050001,0.090001026,0.052979141,0.050387401,0.04668666,0.020000994,0.142052574,0.31874303,0.92011911,0.03556,0.095543844,0.159850491,0.10393496,0.299001304,0.230513512,0.289711203,0,0.047362642,0.207333624,0.448588723,0.295749004,0.500001007,0.368524762,0.050001,0.090001026,0.052979141,0.050387401,0.04668666,0.020000994,0.07795122,0.224250978,0.172885134,0.217283402,0,0.035521982,0.155500218,0.336441542,0.221811753,0.375000755,0.276393572,0.03750075,0.06750077,0.039734356,0.037790551,0.035014995,0.015000746
9,0.277754135,0.494001304,0.621464634,0.643204796,0.320989718,0.288101532,0.508482768,0.632046401,0.495724691,0.510001007,0.372548571,0.020698242,0.080000996,0.035240599,0.035601635,0.03668667,0.010001001,0.072622414,0.011957171,0.914238132,6.80E-04,0.046458254,0.129668912,0.277754135,0.494001304,0.621464634,0.643204796,0.320989718,0.288101532,0.508482768,0.632046401,0.495724691,0.510001007,0.372548571,0.020698242,0.080000996,0.035240599,0.035601635,0.03668667,0.010001001,0.208315601,0.370500978,0.466098476,0.482403597,0.240742289,0.216076149,0.381362076,0.474034801,0.371793518,0.382500755,0.279411428,0.015523682,0.060000747,0.026430449,0.026701226,0.027515003,0.007500751
10,0.416721442,0.468001304,0.777781707,0.747695362,0.315831989,0.455710605,0.688535161,0.725923559,0.605985877,0.530001007,0.383584286,0.015349621,0.070000996,0.025792218,0.02981143,0.030015254,0.010001001,0.064975845,0.011049183,0.927145772,2.00E-05,0.044532672,0.129290576,0.416721442,0.468001304,0.777781707,0.747695362,0.315831989,0.455710605,0.688535161,0.725923559,0.605985877,0.530001007,0.383584286,0.015349621,0.070000996,0.025792218,0.02981143,0.030015254,0.010001001,0.312541082,0.351000978,0.58333628,0.560771522,0.236873992,0.341782954,0.516401371,0.544442669,0.454489408,0.397500755,0.287688215,0.011512216,0.052500747,0.019344164,0.022358573,0.022511441,0.007500751
