Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
10000,1,1,1,10000,1,8760,8760,1,3666.082,309.5993,2937.4,2065.312,18112.418,12573.54,12831.57,2712.805,9850.5494
,,,,,,,,2,3622.715,299.7789,2822.9,1990.437,17891.05,12026.94,12406.69,2661.154,9814.8425
,,,,,,,,3,3596.271,297.46,2795.003,1870.873,17938.776,11159.17,11682.24,2442.54,9979.4007
,,,,,,,,4,3629.061,300.6479,2800.113,1938.463,18214.756,10571.2,11197.15,2300.806,10373.6735
,,,,,,,,5,3703.104,312.3319,2845.1,1949.757,18964.137,10515.6,11134.3,2261.863,11041.6964
,,,,,,,,6,3836.38,336.3121,3035.613,2092.856,20228.601,10916.06,11441.59,2331.19,11885.1771
,,,,,,,,7,3992.927,361.8734,3293.199,2325.277,21830.917,12228.9,12326.05,2551.324,12807.9584
,,,,,,,,8,3831.813,370.1381,3293.12,2459.776,23091.109,13561.87,12754.36,2843.844,12184.2002
,,,,,,,,9,3419.029,320.189,2884.614,2262.535,23473.604,13469.79,11480.35,2334.762,11914.026
,,,,,,,,10,3107.429,281.6845,2456.327,1898.313,23388.477,11780.75,9738.767,1737.954,10095.2336
,,,,,,,,11,2854.29,255.2252,2147.391,1697.021,23184.236,10244.06,8504.125,1402.492,9574.8209
,,,,,,,,12,2742.761,239.1144,1963.75,1619.37,22846.03,8042.07,7383.076,1046.915,8851.8328
,,,,,,,,13,2717.607,239.6464,1952.566,1561.297,22158.317,7212.615,6714.491,994.3293,8110.774
,,,,,,,,14,2836.592,251.3975,2017.172,1510.344,21785.736,7554.073,7032.812,1117.492,7997.2642
,,,,,,,,15,3052.53,268.4457,2209.754,1612.864,21625.725,8987.192,7986.938,1431.742,7802.4769
,,,,,,,,16,3440.933,297.7879,2547.807,1846.44,21913.614,10267.4,9455.543,1894.248,8668.3809
,,,,,,,,17,4028.659,353.2428,3096.761,2151.31,22906.248,11757.9,11152.04,2540.232,10562.3852
,,,,,,,,18,4359.967,408.6124,3584.834,2547.321,24002.361,13114.58,12556.14,2949.82,11256.4069
,,,,,,,,19,4375.833,414.748,3759.31,2714.77,23954.939,14931.14,13541.68,3241.103,11311.6249
,,,,,,,,20,4345.159,410.0529,3778.212,2715.861,23430.308,15150.54,13714.4,3193.558,11352.8953
,,,,,,,,21,4273.231,397.9136,3694.633,2658.23,22667.905,14846.62,13653.96,3084.961,11220.2242
,,,,,,,,22,4108.222,380.2675,3564.254,2567.348,21295.791,14554.82,13887.94,2991.486,10685.6415
,,,,,,,,23,3964.368,357.2717,3393.301,2375.16,20005.214,14311.25,13855.83,2886.592,10316.8097
,,,,,,,,24,3783.493,336.2964,3175.464,2271.458,18896.468,14167.26,13901.82,2868.419,10165.3437
,,,,,,,,25,3755.991,331.7168,3161.678,2209.962,18892.66,13558.29,14079.47,2938.397,10157.3904
,,,,,,,,26,3714.739,324.6031,3112.041,2115.939,18612.944,12554.52,13345.04,2766.669,10221.0125
,,,,,,,,27,3684.064,328.4198,3147.111,2035.417,18622.872,11570.63,12749.39,2537.82,10415.9544
,,,,,,,,28,3716.854,336.2934,3146.987,2056.525,19080.401,11003.85,12285.55,2381.506,10849.8472
,,,,,,,,29,3810.994,358.542,3277.655,2108.23,20147.159,10935.3,12352.32,2349.93,11772.5116
,,,,,,,,30,4003.505,391.6887,3553.066,2284.2,21965.259,11520.42,12891.03,2451.624,12774.024
,,,,,,,,31,4193.9,429.9026,3939.184,2531.658,24013.039,13007.45,14089.54,2726.485,13801.3405
,,,,,,,,32,4019.68,438.9962,4011.426,2667.129,25144.228,14609.77,14888.4,3196.929,13020.8954
,,,,,,,,33,3563.528,365.756,3547.158,2471.817,25171.192,14889.47,13609.54,2775.406,11231.2604
